"Date Printed: Tuesday, July 19, 2022 3:39:12 PM"
Title: Chlamydia | Early Non-Primary, Non-Secondary Syphilis | Gonorrhea | HIV prevalence | Primary and Secondary Syphilis | 2019 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 13-24
Footnote(s): For all HIV surveillance data: Data for the years 2020 and 2021 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data for the year 2021 are preliminary (subject to a 12-month reporting delay). Rates are not reported until 12-month reporting delay complete. Inclusion of 2020 and 2021 data in trend assessments is discouraged.
Prevalence: Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for more information on death reporting by jurisdiction.
Death: Death data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Death data based on residence at death.
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, AIDS prevalence, knowledge of status, estimated HIV incidence, estimated HIV prevalence, and receipt of HIV medical care, and viral suppression indicators.
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP.  “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Number prescribed are reported through December 2021. Data for which values are unknown were not reported; therefore, values may not sum to column total.
NA - Not applicable


Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Chlamydia","2019","Louisiana","22","24,989","3478.0"
"Early Non-Primary, Non-Secondary Syphilis","2019","Louisiana","22","147","20.5"
"Gonorrhea","2019","Louisiana","22","6,734","937.2"
"HIV prevalence","2019","Louisiana","22","875","121.5"
"Primary and Secondary Syphilis","2019","Louisiana","22","237","33.0"
"Chlamydia","2019","Maine","23","1,051","578.1"
"Early Non-Primary, Non-Secondary Syphilis","2019","Maine","23","11","6.1"
"Gonorrhea","2019","Maine","23","204","112.2"
"HIV prevalence","2019","Maine","23","28","15.4"
"Primary and Secondary Syphilis","2019","Maine","23","13","7.2"
"Chlamydia","2019","Maryland","24","24,419","2708.3"
"Early Non-Primary, Non-Secondary Syphilis","2019","Maryland","24","162","18.0"
"Gonorrhea","2019","Maryland","24","4,637","514.3"
"HIV prevalence","2019","Maryland","24","850","94.1"
"Primary and Secondary Syphilis","2019","Maryland","24","197","21.8"
"Chlamydia","2019","Massachusetts","25","18,744","1718.4"
"Early Non-Primary, Non-Secondary Syphilis","2019","Massachusetts","25","97","8.9"
"Gonorrhea","2019","Massachusetts","25","2,401","220.1"
"HIV prevalence","2019","Massachusetts","25","386","35.3"
"Primary and Secondary Syphilis","2019","Massachusetts","25","Data suppressed","Data suppressed"
"Chlamydia","2019","Michigan","26","33,214","2109.7"
"Early Non-Primary, Non-Secondary Syphilis","2019","Michigan","26","100","6.4"
"Gonorrhea","2019","Michigan","26","8,906","565.7"
"HIV prevalence","2019","Michigan","26","717","45.5"
"Primary and Secondary Syphilis","2019","Michigan","26","Data suppressed","Data suppressed"
"Chlamydia","2019","Minnesota","27","15,129","1749.3"
"Early Non-Primary, Non-Secondary Syphilis","2019","Minnesota","27","78","9.0"
"Gonorrhea","2019","Minnesota","27","3,172","366.8"
"HIV prevalence","2019","Minnesota","27","247","28.6"
"Primary and Secondary Syphilis","2019","Minnesota","27","81","9.4"
"Chlamydia","2019","Mississippi","28","17,940","3703.1"
"Early Non-Primary, Non-Secondary Syphilis","2019","Mississippi","28","350","72.2"
"Gonorrhea","2019","Mississippi","28","7,006","1446.1"
"HIV prevalence","2019","Mississippi","28","464","95.6"
"Primary and Secondary Syphilis","2019","Mississippi","28","258","53.3"
"Chlamydia","2019","Missouri","29","22,456","2360.6"
"Early Non-Primary, Non-Secondary Syphilis","2019","Missouri","29","140","14.7"
"Gonorrhea","2019","Missouri","29","6,739","708.4"
"HIV prevalence","2019","Missouri","29","451","47.4"
"Primary and Secondary Syphilis","2019","Missouri","29","146","15.3"
"Chlamydia","2019","Montana","30","2,995","1850.9"
"Early Non-Primary, Non-Secondary Syphilis","2019","Montana","30","6","3.7"
"Gonorrhea","2019","Montana","30","539","333.1"
"HIV prevalence","2019","Montana","30","16","9.9"
"Primary and Secondary Syphilis","2019","Montana","30","14","8.7"
"Chlamydia","2019","Nebraska","31","6,145","1910.7"
"Early Non-Primary, Non-Secondary Syphilis","2019","Nebraska","31","9","2.8"
"Gonorrhea","2019","Nebraska","31","1,308","406.7"
"HIV prevalence","2019","Nebraska","31","74","23.1"
"Primary and Secondary Syphilis","2019","Nebraska","31","43","13.4"
"Chlamydia","2019","Nevada","32","10,097","2274.0"
"Early Non-Primary, Non-Secondary Syphilis","2019","Nevada","32","69","15.5"
"Gonorrhea","2019","Nevada","32","2,360","531.5"
"HIV prevalence","2019","Nevada","32","316","70.8"
"Primary and Secondary Syphilis","2019","Nevada","32","Data suppressed","Data suppressed"
"Chlamydia","2019","New Hampshire","33","2,321","1145.0"
"Early Non-Primary, Non-Secondary Syphilis","2019","New Hampshire","33","3","1.5"
"Gonorrhea","2019","New Hampshire","33","132","65.1"
"HIV prevalence","2019","New Hampshire","33","22","10.8"
"Primary and Secondary Syphilis","2019","New Hampshire","33","6","3.0"
"Chlamydia","2019","New Jersey","34","24,098","1829.6"
"Early Non-Primary, Non-Secondary Syphilis","2019","New Jersey","34","182","13.8"
"Gonorrhea","2019","New Jersey","34","4,472","339.5"
"HIV prevalence","2019","New Jersey","34","776","58.9"
"Primary and Secondary Syphilis","2019","New Jersey","34","150","11.4"
"Chlamydia","2019","New Mexico","35","8,484","2539.0"
"Early Non-Primary, Non-Secondary Syphilis","2019","New Mexico","35","39","11.7"
"Gonorrhea","2019","New Mexico","35","1,566","468.7"
"HIV prevalence","2019","New Mexico","35","109","32.5"
"Primary and Secondary Syphilis","2019","New Mexico","35","88","26.3"
"Chlamydia","2019","New York","36","69,265","2397.2"
"Early Non-Primary, Non-Secondary Syphilis","2019","New York","36","464","16.1"
"Gonorrhea","2019","New York","36","14,234","492.6"
"HIV prevalence","2019","New York","36","2,540","88.0"
"Primary and Secondary Syphilis","2019","New York","36","Data suppressed","Data suppressed"
"Chlamydia","2019","North Carolina","37","46,355","2803.0"
"Early Non-Primary, Non-Secondary Syphilis","2019","North Carolina","37","197","11.9"
"Gonorrhea","2019","North Carolina","37","12,410","750.4"
"HIV prevalence","2019","North Carolina","37","1,292","77.9"
"Primary and Secondary Syphilis","2019","North Carolina","37","259","15.7"
"Chlamydia","2019","North Dakota","38","2,423","1887.4"
"Early Non-Primary, Non-Secondary Syphilis","2019","North Dakota","38","3","2.3"
"Gonorrhea","2019","North Dakota","38","541","421.4"
"HIV prevalence","2019","North Dakota","38","23","17.8"
"Primary and Secondary Syphilis","2019","North Dakota","38","7","5.5"
"Chlamydia","2019","Ohio","39","43,716","2426.0"
"Early Non-Primary, Non-Secondary Syphilis","2019","Ohio","39","96","5.3"
"Gonorrhea","2019","Ohio","39","11,994","665.6"
"HIV prevalence","2019","Ohio","39","909","50.4"
"Primary and Secondary Syphilis","2019","Ohio","39","175","9.7"
"Chlamydia","2019","Oklahoma","40","15,421","2385.3"
"Early Non-Primary, Non-Secondary Syphilis","2019","Oklahoma","40","70","10.8"
"Gonorrhea","2019","Oklahoma","40","4,584","709.0"
"Primary and Secondary Syphilis","2019","Oklahoma","40","140","21.7"
"HIV prevalence","2019","Oklahoma^","40","222","34.4"
"Chlamydia","2019","Oregon","41","11,061","1815.7"
"Early Non-Primary, Non-Secondary Syphilis","2019","Oregon","41","37","6.1"
"Gonorrhea","2019","Oregon","41","1,751","287.4"
"HIV prevalence","2019","Oregon","41","110","18.1"
"Primary and Secondary Syphilis","2019","Oregon","41","46","7.6"
"Chlamydia","2019","Pennsylvania","42","40,315","2115.7"
"Early Non-Primary, Non-Secondary Syphilis","2019","Pennsylvania","42","219","11.5"
"Gonorrhea","2019","Pennsylvania","42","6,876","360.9"
"HIV prevalence","2019","Pennsylvania","42","1,069","56.2"
"Primary and Secondary Syphilis","2019","Pennsylvania","42","197","10.3"
"Chlamydia","2019","Rhode Island","44","3,614","2118.5"
"Early Non-Primary, Non-Secondary Syphilis","2019","Rhode Island","44","13","7.6"
"Gonorrhea","2019","Rhode Island","44","546","320.1"
"HIV prevalence","2019","Rhode Island","44","73","43.1"
"Primary and Secondary Syphilis","2019","Rhode Island","44","18","10.6"
"Chlamydia","2019","South Carolina","45","24,000","3063.5"
"Early Non-Primary, Non-Secondary Syphilis","2019","South Carolina","45","136","17.4"
"Gonorrhea","2019","South Carolina","45","6,886","879.0"
"Primary and Secondary Syphilis","2019","South Carolina","45","112","14.3"
"HIV prevalence","2019","South Carolina^","45","638","81.3"
"Chlamydia","2019","South Dakota","46","2,781","1978.3"
"Early Non-Primary, Non-Secondary Syphilis","2019","South Dakota","46","0","0.0"
"Gonorrhea","2019","South Dakota","46","827","588.3"
"HIV prevalence","2019","South Dakota","46","16","11.3"
"Primary and Secondary Syphilis","2019","South Dakota","46","11","7.8"
"Chlamydia","2019","Tennessee","47","26,970","2589.5"
"Early Non-Primary, Non-Secondary Syphilis","2019","Tennessee","47","166","15.9"
"Gonorrhea","2019","Tennessee","47","7,813","750.1"
"HIV prevalence","2019","Tennessee","47","661","63.4"
"Primary and Secondary Syphilis","2019","Tennessee","47","158","15.2"
"Chlamydia","2019","Texas","48","81,893","1673.1"
"Early Non-Primary, Non-Secondary Syphilis","2019","Texas","48","Data suppressed","Data suppressed"
"Gonorrhea","2019","Texas","48","21,493","439.1"
"HIV prevalence","2019","Texas","48","3,689","75.3"
"Primary and Secondary Syphilis","2019","Texas","48","627","12.8"
"Chlamydia","2019","Utah","49","6,584","1053.2"
"Early Non-Primary, Non-Secondary Syphilis","2019","Utah","49","12","1.9"
"Gonorrhea","2019","Utah","49","959","153.4"
"HIV prevalence","2019","Utah","49","111","17.7"
"Primary and Secondary Syphilis","2019","Utah","49","26","4.2"
"Chlamydia","2019","Vermont","50","Data suppressed","Data suppressed"
"Early Non-Primary, Non-Secondary Syphilis","2019","Vermont","50","1","1.0"
"Gonorrhea","2019","Vermont","50","75","75.0"
"HIV prevalence","2019","Vermont","50","17","17.0"
"Primary and Secondary Syphilis","2019","Vermont","50","1","1.0"
"Chlamydia","2019","Virginia","51","28,824","2176.8"
"Early Non-Primary, Non-Secondary Syphilis","2019","Virginia","51","Data suppressed","Data suppressed"
"Gonorrhea","2019","Virginia","51","6,024","454.9"
"HIV prevalence","2019","Virginia","51","705","53.0"
"Primary and Secondary Syphilis","2019","Virginia","51","125","9.4"
"Chlamydia","2019","Washington","53","21,131","1898.2"
"Early Non-Primary, Non-Secondary Syphilis","2019","Washington","53","88","7.9"
"Gonorrhea","2019","Washington","53","3,428","307.9"
"HIV prevalence","2019","Washington","53","294","26.4"
"Primary and Secondary Syphilis","2019","Washington","53","122","11.0"
"Chlamydia","2019","West Virginia","54","3,568","1381.9"
"Early Non-Primary, Non-Secondary Syphilis","2019","West Virginia","54","22","8.5"
"Gonorrhea","2019","West Virginia","54","589","228.1"
"HIV prevalence","2019","West Virginia","54","59","22.8"
"Primary and Secondary Syphilis","2019","West Virginia","54","16","6.2"
"Chlamydia","2019","Wisconsin","55","19,024","2077.5"
"Early Non-Primary, Non-Secondary Syphilis","2019","Wisconsin","55","56","6.1"
"Gonorrhea","2019","Wisconsin","55","4,203","459.0"
"HIV prevalence","2019","Wisconsin","55","230","25.1"
"Primary and Secondary Syphilis","2019","Wisconsin","55","42","4.6"
"Chlamydia","2019","Wyoming","56","Data suppressed","Data suppressed"
"Early Non-Primary, Non-Secondary Syphilis","2019","Wyoming","56","3","3.3"
"Gonorrhea","2019","Wyoming","56","148","164.1"
"HIV prevalence","2019","Wyoming","56","9","10.0"
"Primary and Secondary Syphilis","2019","Wyoming","56","5","5.5"
